2018-10-10 11:40:08 [RMI TCP Connection(37)-127.0.0.1] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1b1473ab: startup date [Wed Oct 10 11:11:40 IST 2018]; root of context hierarchy
2018-10-10 11:40:08 [RMI TCP Connection(37)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2018-10-10 11:40:08 [RMI TCP Connection(37)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2018-10-10 11:40:08 [RMI TCP Connection(37)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2018-10-10 11:40:09 [RMI TCP Connection(37)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2018-10-10 11:40:16 [main] INFO  com.capgemini.SpsDemoApplication - Starting SpsDemoApplication on LIN40000108 with PID 18416 (C:\Users\vishwman\Desktop\SPS-DEMO-NEW\target\classes started by vishwman in C:\Users\vishwman\Desktop\SPS-DEMO-NEW)
2018-10-10 11:40:16 [main] INFO  com.capgemini.SpsDemoApplication - The following profiles are active: swagger-enabled-for-qa
2018-10-10 11:40:16 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2ea227af: startup date [Wed Oct 10 11:40:16 IST 2018]; root of context hierarchy
2018-10-10 11:40:17 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8f17572a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-10-10 11:40:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
2018-10-10 11:40:17 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
